"text","title"
"Twenty Thousand Leagues under the Sea","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"by Jules Verne","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"Contents","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
" PART I","Twenty Thousand Leagues under the Sea"
" CHAPTER I A SHIFTING REEF","Twenty Thousand Leagues under the Sea"
" CHAPTER II PRO AND CON","Twenty Thousand Leagues under the Sea"
" CHAPTER III I FORM MY RESOLUTION","Twenty Thousand Leagues under the Sea"
" CHAPTER IV NED LAND","Twenty Thousand Leagues under the Sea"
" CHAPTER V AT A VENTURE","Twenty Thousand Leagues under the Sea"
" CHAPTER VI AT FULL STEAM","Twenty Thousand Leagues under the Sea"
" CHAPTER VII AN UNKNOWN SPECIES OF WHALE","Twenty Thousand Leagues under the Sea"
" CHAPTER VIII MOBILIS IN MOBILI","Twenty Thousand Leagues under the Sea"
" CHAPTER IX NED LAND’S TEMPERS","Twenty Thousand Leagues under the Sea"
" CHAPTER X THE MAN OF THE SEAS","Twenty Thousand Leagues under the Sea"
" CHAPTER XI ALL BY ELECTRICITY","Twenty Thousand Leagues under the Sea"
" CHAPTER XII SOME FIGURES","Twenty Thousand Leagues under the Sea"
" CHAPTER XIII THE BLACK RIVER","Twenty Thousand Leagues under the Sea"
" CHAPTER XIV A NOTE OF INVITATION","Twenty Thousand Leagues under the Sea"
" CHAPTER XV A WALK ON THE BOTTOM OF THE SEA","Twenty Thousand Leagues under the Sea"
" CHAPTER XVI A SUBMARINE FOREST","Twenty Thousand Leagues under the Sea"
" CHAPTER XVII FOUR THOUSAND LEAGUES UNDER THE PACIFIC","Twenty Thousand Leagues under the Sea"
" CHAPTER XVIII VANIKORO","Twenty Thousand Leagues under the Sea"
" CHAPTER XIX TORRES STRAITS","Twenty Thousand Leagues under the Sea"
" CHAPTER XX A FEW DAYS ON LAND","Twenty Thousand Leagues under the Sea"
" CHAPTER XXI CAPTAIN NEMO’S THUNDERBOLT","Twenty Thousand Leagues under the Sea"
" CHAPTER XXII “ÆGRI SOMNIA”","Twenty Thousand Leagues under the Sea"
" CHAPTER XXIII THE CORAL KINGDOM","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
" PART II","Twenty Thousand Leagues under the Sea"
" CHAPTER I THE INDIAN OCEAN","Twenty Thousand Leagues under the Sea"
" CHAPTER II A NOVEL PROPOSAL OF CAPTAIN NEMO’S","Twenty Thousand Leagues under the Sea"
" CHAPTER III A PEARL OF TEN MILLIONS","Twenty Thousand Leagues under the Sea"
" CHAPTER IV THE RED SEA","Twenty Thousand Leagues under the Sea"
" CHAPTER V THE ARABIAN TUNNEL","Twenty Thousand Leagues under the Sea"
" CHAPTER VI THE GRECIAN ARCHIPELAGO","Twenty Thousand Leagues under the Sea"
" CHAPTER VII THE MEDITERRANEAN IN FORTY-EIGHT HOURS","Twenty Thousand Leagues under the Sea"
" CHAPTER VIII VIGO BAY","Twenty Thousand Leagues under the Sea"
" CHAPTER IX A VANISHED CONTINENT","Twenty Thousand Leagues under the Sea"
" CHAPTER X THE SUBMARINE COAL-MINES","Twenty Thousand Leagues under the Sea"
" CHAPTER XI THE SARGASSO SEA","Twenty Thousand Leagues under the Sea"
" CHAPTER XII CACHALOTS AND WHALES","Twenty Thousand Leagues under the Sea"
" CHAPTER XIII THE ICEBERG","Twenty Thousand Leagues under the Sea"
" CHAPTER XIV THE SOUTH POLE","Twenty Thousand Leagues under the Sea"
" CHAPTER XV ACCIDENT OR INCIDENT?","Twenty Thousand Leagues under the Sea"
" CHAPTER XVI WANT OF AIR","Twenty Thousand Leagues under the Sea"
" CHAPTER XVII FROM CAPE HORN TO THE AMAZON","Twenty Thousand Leagues under the Sea"
" CHAPTER XVIII THE POULPS","Twenty Thousand Leagues under the Sea"
" CHAPTER XIX THE GULF STREAM","Twenty Thousand Leagues under the Sea"
" CHAPTER XX FROM LATITUDE 47° 24′ TO LONGITUDE 17° 28′","Twenty Thousand Leagues under the Sea"
" CHAPTER XXI A HECATOMB","Twenty Thousand Leagues under the Sea"
" CHAPTER XXII THE LAST WORDS OF CAPTAIN NEMO","Twenty Thousand Leagues under the Sea"
" CHAPTER XXIII CONCLUSION","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"List of Illustrations","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
" An old grey-bearded gunner . . . .","Twenty Thousand Leagues under the Sea"
" Captain Nemo’s state-room","Twenty Thousand Leagues under the Sea"
" Captain Nemo took the Sun’s altitude","Twenty Thousand Leagues under the Sea"
" I was ready to set out","Twenty Thousand Leagues under the Sea"
" Conseil seized his gun","Twenty Thousand Leagues under the Sea"
" All fell on their knees in an attitude of prayer","Twenty Thousand Leagues under the Sea"
" A terrible combat began","Twenty Thousand Leagues under the Sea"
" “A man! A shipwrecked sailor!” I cried","Twenty Thousand Leagues under the Sea"
" The _Nautilus_ was floating near a mountain","Twenty Thousand Leagues under the Sea"
" The _Nautilus_ was blocked up","Twenty Thousand Leagues under the Sea"
" One of these long arms glided through the opening","Twenty Thousand Leagues under the Sea"
" The unfortunate vessel sank more rapidly","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
"","Twenty Thousand Leagues under the Sea"
